"Model Yr","Mfr Name","Division","Carline","Verify Mfr Cd","Index (Model Type Index)","Eng Displ","# Cyl","Trans in FE Guide (MFR entered for data entered after May 13 2011)","City FE (Guide) - Conventional Fuel","Hwy FE (Guide) - Conventional Fuel","Comb FE (Guide) - Conventional Fuel","City Unadj FE - Conventional Fuel","Hwy Unadj FE - Conventional Fuel","Comb Unadj FE - Conventional Fuel","City Unrd Adj FE - Conventional Fuel","Hwy Unrd Adj FE - Conventional Fuel","Comb Unrd Adj FE - Conventional Fuel","Guzzler? ","Air Aspir Method","Air Aspiration Method Desc","Trans","Trans Desc","Trans, Other","# Gears","Trans Lockup","Trans Creeper Gear","Drive Sys","Drive Desc","Max Ethanol % - Gasoline","Max Biodiesel %","Range1 - Model Type Driving Range - Conventional Fuel","Fuel Usage  - Conventional Fuel","Fuel Usage Desc - Conventional Fuel","Fuel Unit - Conventional Fuel","Fuel Unit Desc - Conventional Fuel","Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition)","Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition)","2Dr Pass Vol","2Dr Lugg Vol","4Dr Pass Vol","4Dr Lugg Vol","Htchbk Pass Vol","Htchbk Lugg Vol","Annual Fuel1 Cost - Conventional Fuel","EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ","City2 FE (Guide) - Alternative Fuel","Hwy2 Fuel FE (Guide) - Alternative Fuel","Comb2 Fuel FE (Guide) - Alternative Fuel","City2 Unadj FE - Alternative Fuel","Hwy2 Unadj FE - Alternative Fuel","Comb2 Unadj FE - Alternative Fuel","City2 Unrd Adj FE - Alternative Fuel","Hwy2 Unrd Adj FE - Alternative Fuel","Cmb2 Unrd Adj FE - Alternative Fuel"," Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel"," Fuel2 Usage - Alternative Fuel"," Fuel2 Usage Desc - Alternative Fuel","Fuel2 Unit - Alternative Fuel","Fuel2 Unit Desc - Alternative Fuel","Fuel2 Annual Fuel Cost - Alternative Fuel","Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel","Descriptor - Model Type (40 Char or less)","Intake Valves Per Cyl","Exhaust Valves Per Cyl","Carline Class","Carline Class Desc","Car/Truck Category - Cash for Clunkers Bill.","Calc Approach Desc","Release Date","EPA FE Label Dataset ID",,"Unique Label?","Label Recalc?","Relabel","Relabel Desc","Suppressed?","Police/Emerg?","Comments - Mfr Eng Cnfg","Cyl Deact?","Cyl Deact Desc","Var Valve Timing?","Var Valve Timing Desc","Var Valve Lift?","Var Valve Lift Desc","Energy Storage Device Desc","Energy Storage Device,If Other","# Batteries","Battery Type Desc","Battery Type, If Other","Total Voltage for Battery Pack(s)","Batt Energy Capacity (Amp-hrs)","Batt Specific Energy (Watt-hr/kg)","Batt Charger Type Desc","Comments","# Capacitors","Regen Braking Type Desc","Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)","Driver Cntrl Regen Braking?","Fuel Cell Desc","Usable H2 Fill Capacity (kg)","Fuel Cell Onboard H2 Capacity (kg)","HEV-EV Comments","# Drive Motor Gen","Motor Gen Type Desc","Motor Gen Type, If Other","Rated Motor Gen Power (kW)","Fuel Metering Type 1 Desc","Fuel Metering Type 2 Desc","Fuel Metering Sys Cd","Fuel Metering Sys Desc","Fuel Cell Vehicle (Y or N)","Off Board Charge Capable (Y or N)","Camless Valvetrain (Y or N)","Oil Viscosity","Eng Mgmt System (Stop/Start Sys) Code","Eng Mgmt System (Stop/Start Sys) Description","Model Type Desc (MFR entered)","Charge Depleting Calc Appr Code","Charge Depleting Calc Appr Desc","Charge Sustaining Calc Appr Code","Charge Sustaining Calc Appr Desc","EPA Calculated Annual Fuel Cost","EPA Calculated Gas Guzzler MPG","MFR Calculated Gas Guzzler MPG ","EPA Calculated Gas Guzzler Indicator (Y or N)"
2012,"aston martin","Aston Martin Lagonda Ltd","V12 Vantage","ASX",8,5.9,12,"Manual(M6)",11,17,13,13.73,22.93,16.75,11.2,16.64,13.13,"G","NA","Naturally Aspirated","M","Manual",,6,"N","N","R","2-Wheel Drive, Rear",10,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,4385,4556,,,,,,,,,,,,,,,,,,2,2,"1","Two Seaters","car","Derived 5-cycle label",5/6/2011,9266,,"N","N",,,"N","N","Virage power config (carline 254)","N",,"N",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,"MFI","Multipoint/sequential fuel injection","N",,"N","0W40","N","No","V12 Vantage",,,,,,,16.9,
2012,"aston martin","Aston Martin Lagonda Ltd","V8 Vantage","ASX",2,4.7,8,"Auto(AM6)",14,20,16,17.08,27.35,20.55,13.82,19.76,15.98,"G","NA","Naturally Aspirated","AM","Automated Manual",,6,"N","N","R","2-Wheel Drive, Rear",10,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3563,3703,,,,,,,,,,,,,,,,,,2,2,"1","Two Seaters","car","Derived 5-cycle label",7/11/2011,9259,,"N","N",,,"N","N","V8 Vantage config (Carline 260)","N",,"Y","Electronically controlled, hydraulically actuated intake cam phasing","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"MFI","Multipoint/sequential fuel injection","N",,"N","10W60","N","No","V8 Vantage Sportshift",,,,,,,20.7,
2012,"aston martin","Aston Martin Lagonda Ltd","V8 Vantage","ASX",11,4.7,8,"Auto(AM7)",14,21,16,16.69,28.79,20.58,13.51,20.77,16.04,"G","NA","Naturally Aspirated","AM","Automated Manual",,7,"N","N","R","2-Wheel Drive, Rear",10,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3563,3703,,,,,,,,,,,,,,,,,,2,2,"1","Two Seaters","car","Derived 5-cycle label",1/9/2012,9261,,"N","N",,,"N","N","V8 Vantage config (Carline 260)","N",,"Y","Electronically controlled, hydraulically actuated intake cam phasing","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"MFI","Multipoint/sequential fuel injection","N",,"N","10W60","N","No","V8 Vantage ASM7",,,,,,,20.7,
2012,"aston martin","Aston Martin Lagonda Ltd","V8 Vantage","ASX",1,4.7,8,"Manual(M6)",13,19,15,16.01,26.52,19.49,12.99,19.18,15.2,"G","NA","Naturally Aspirated","M","Manual",,6,"N","N","R","2-Wheel Drive, Rear",10,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3800,3952,,,,,,,,,,,,,,,,,,2,2,"1","Two Seaters","car","Derived 5-cycle label",7/11/2011,9258,,"N","N",,,"N","N","V8 Vantage config (Carline 260)","N",,"Y","Electronically controlled, hydraulically actuated intake cam phasing","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"MFI","Multipoint/sequential fuel injection","N",,"N","10W60","N","No",,,,,,,,19.6,
2012,"aston martin","Aston Martin Lagonda Ltd","V8 Vantage S","ASX",3,4.7,8,"Auto(AM7)",14,21,16,16.69,28.79,20.58,13.51,20.77,16.04,"G","NA","Naturally Aspirated","AM","Automated Manual",,7,"N","N","R","2-Wheel Drive, Rear",10,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3563,3703,,,,,,,,,,,,,,,,,,2,2,"1","Two Seaters","car","Derived 5-cycle label",7/11/2011,9260,,"N","N",,,"N","N","V8 Vantage S config (Carline 261)","N",,"Y","Electronically controlled, hydraulically actuated intake cam phasing","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"MFI","Multipoint/sequential fuel injection","N",,"N","10W60","N","No",,,,,,,,20.7,
2012,"Audi","Audi","R8","ADX",73,4.2,8,"Auto(AM6)",13,21,16,15.96,26.83,19.52,13.26,21.05,15.91,"G","NA","Naturally Aspirated","AM","Automated Manual",,6,"N","N","A","All Wheel Drive",10,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3000,3703,,,,,,,,,,,,,,,,,"SIDI; ",2,2,"1","Two Seaters","car","Vehicle Specific 5-cycle label",5/26/2011,7420,,"N","N",,,"N","N","Oil viscosity / classification will be added at the application update.","N",,"Y","CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"GDI","Spark Ignition Direct Injection",,,"N","5W30","N","No","R8 AM",,,,,,,19.7,
2012,"Audi","Audi","R8","ADX",75,4.2,8,"Manual(M6)",11,20,14,13.65,24.3,17,11.44,19.97,14.17,"G","NA","Naturally Aspirated","M","Manual",,6,"N","N","A","All Wheel Drive",10,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3427,4230,,,,,,,,,,,,,,,,,"SIDI; ",2,2,"1","Two Seaters","car","Vehicle Specific 5-cycle label",6/7/2011,7421,,"N","N",,,"N","N","Oil viscosity / classification will be added at the application update.","N",,"Y","CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"GDI","Spark Ignition Direct Injection",,,"N","5W30","N","No","R8 manual",,,,,,,17.1,
2012,"Audi","Audi","R8","ADX",41,5.2,10,"Auto(AM6)",13,19,15,15.41,24.41,18.48,12.93,19.32,15.19,"G","NA","Naturally Aspirated","AM","Automated Manual",,6,"Y","N","A","All Wheel Drive",,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3202,3952,,,,,,,,,,,,,,,,,"SIDI; ",2,2,"1","Two Seaters","car","Vehicle Specific 5-cycle label",5/6/2011,6708,,"N","N",,,"N","N","ENGINE CODE BUJ (AUDI R8)","N",,"Y","INLET AND OUTLET CONTINUOUSLY VARIABLE / MECHANICAL-HYDRAULIC","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"GDI","Spark Ignition Direct Injection",,,"N","10W60 VW 50101 / 50500","N","No",,,,,,,,,
2012,"Audi","Audi","R8","ADX",43,5.2,10,"Manual(M6)",12,19,14,13.7,23.19,16.79,11.63,19.13,14.12,"G","NA","Naturally Aspirated","M","Manual",,6,"N","N","A","All Wheel Drive",,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3427,4230,,,,,,,,,,,,,,,,,"SIDI; ",2,2,"1","Two Seaters","car","Vehicle Specific 5-cycle label",5/9/2011,6710,,"N","N",,,"N","N","ENGINE CODE BUJ (AUDI R8)","N",,"Y","INLET AND OUTLET CONTINUOUSLY VARIABLE / MECHANICAL-HYDRAULIC","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"GDI","Spark Ignition Direct Injection",,,"N","10W60 VW 50101 / 50500","N","No",,,,,,,,,
2012,"Audi","Audi","R8 Spyder","ADX",66,4.2,8,"Auto(AM6)",13,21,16,15.96,26.83,19.52,13.26,21.05,15.91,"G","NA","Naturally Aspirated","AM","Automated Manual",,6,"N","N","A","All Wheel Drive",10,,,"GP","Gasoline (Premium Unleaded Recommended)","MPG","miles per gallon","N","Not exempt",,,,,,,3000,3703,,,,,,,,,,,,,,,,,"SIDI; ",2,2,"1","Two Seaters","car","Vehicle Specific 5-cycle label",5/26/2011,7422,,"N","N",,,"N","N","Oil viscosity / classification will be added at the application update.","N",,"Y","CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT","N",,,,,,,,,,,,,,,,,,,,,,,,,,,"GDI","Spark Ignition Direct Injection",,,"N","5W30","N","No","R8 Spyder AM",,,,,,,19.7,
